Brand,Model,Year of Manufacture,Engine Capacity (cc),Mileage (km/l),Price (INR),Resale Price (INR),Seller Type,City Tier,Fuel Type,Insurance Status,State,Avg Daily Distance (km),Bike Age,Depreciation Rate (%)
Bajaj,Pulsar,2014,308,61.6,48570,27326,Individual,Tier 1,Electric,Insured,Tamil Nadu,46,11,43.74
Yamaha,FZ,2023,295,48.4,47549,46896,Individual,Tier 1,Electric,Not Insured,Karnataka,29,2,1.37
Honda,Shine,2022,274,36.4,36148,34402,Dealer,Tier 1,Petrol,Not Insured,Tamil Nadu,18,3,4.83
Bajaj,Avenger,2023,233,47.8,147162,95655,Individual,Tier 1,Electric,Not Insured,Karnataka,43,2,35.0
Honda,Livo,2016,171,73.9,31914,25106,Individual,Tier 2,Electric,Not Insured,Gujarat,40,9,21.33
Hero,HF Deluxe,2020,178,67.6,54940,30558,Dealer,Tier 1,Diesel,Not Insured,Maharashtra,28,5,44.38
Yamaha,SZ,2023,215,61.7,40071,20834,Individual,Tier 3,Diesel,Insured,Rajasthan,42,2,48.01
Bajaj,Pulsar,2012,306,66.0,48865,35987,Individual,Tier 3,Diesel,Insured,Uttar Pradesh,15,13,26.35
Suzuki,Access,2006,270,64.6,69137,52164,Dealer,Tier 3,Petrol,Not Insured,Tamil Nadu,16,19,24.55
Honda,Unicorn,2014,118,43.5,111376,61967,Individual,Tier 3,Petrol,Not Insured,Tamil Nadu,41,11,44.36
Bajaj,Pulsar,2015,243,74.5,30660,28624,Dealer,Tier 1,Petrol,Insured,Karnataka,55,10,6.64
Bajaj,CT 100,2022,299,65.5,46983,29113,Dealer,Tier 1,Electric,Insured,Rajasthan,42,3,38.04
Suzuki,Burgman,2018,122,40.5,147030,132413,Individual,Tier 2,Diesel,Not Insured,Tamil Nadu,49,7,9.94
Suzuki,Burgman,2005,292,30.4,124533,115164,Individual,Tier 2,Diesel,Not Insured,Tamil Nadu,38,20,7.52
Honda,Shine,2013,172,30.7,149449,81220,Individual,Tier 3,Electric,Insured,Gujarat,27,12,45.65
Honda,Shine,2010,89,77.5,37793,23939,Individual,Tier 1,Electric,Not Insured,Maharashtra,52,15,36.66
